device_id,addidas,apple,bmw,employed,female,h_&_m,high_income,honda,job_seeking,low_income,male,mercedes-benz,middle_income,retired,student,tommy_helfinger
2,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
5,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
16,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
29,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
36,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
51,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
52,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
59,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
80,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
102,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
105,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
119,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
134,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0
142,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
146,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
162,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
164,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
167,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
169,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
171,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
177,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
180,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
182,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
188,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
215,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
220,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
227,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
235,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
268,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
273,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
280,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
281,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
284,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
288,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
290,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
293,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
295,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
299,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
328,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
337,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0
339,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
343,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
370,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
371,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
372,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
374,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
376,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
378,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
385,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
392,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
400,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
402,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
438,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
444,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
463,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
468,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
489,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
490,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1
505,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
506,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
514,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
534,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
551,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
556,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
582,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0
593,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
594,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
603,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
606,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0
608,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
641,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
643,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
650,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
655,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0
661,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
669,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
678,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
710,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
711,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0
722,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
732,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
736,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
743,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
746,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
747,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
755,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
757,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
786,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
797,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
801,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
811,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
816,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0
821,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
838,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
843,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
844,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
856,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
884,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
885,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
889,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
892,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
907,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
932,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
938,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0
939,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
940,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
951,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
953,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
980,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
984,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
1030,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1032,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
1035,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1049,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1052,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1054,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
1061,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1088,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1113,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1116,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
1128,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1131,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1134,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1145,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
1148,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1150,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1153,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1163,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1169,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
1170,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
1182,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1
1199,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0
1213,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
1223,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1232,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1233,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1242,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1269,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
1274,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
1281,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1285,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
1286,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1297,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1302,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1307,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
1310,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1319,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
1322,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
1330,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1368,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1369,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1371,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1389,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
1391,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1392,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1412,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0
1419,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0
1420,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
1421,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
1423,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1426,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1427,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
1428,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1436,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
1468,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1473,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1516,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
1527,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1529,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
1532,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1533,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
1540,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1549,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1552,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1554,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
1591,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
